Code,Item,Group,Region_Number,REGION_NAME,State_Name,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Average_Annual_Percent_Growth
1,Personal Health Care (Millions of Dollars),United States,0,United States,,214321,248626,279493,308006,337879,372633,405373,444420,495055,547023,611967,672711,728437,775720,817952,866811,915029,966064,1019653,1079208,1157014,1257063,1366087,1476505,1582999,1694411,1806963,1922157,2007967,2106233,2181261,2254675,2346962,2405667,2527325,2674089,2795322,2905160,3021796,3175230,3357832,7.1
1,Personal Health Care (Millions of Dollars),Region,1,New England,,12830,14696,16591,18253,20068,21840,24126,26955,30701,34635,38293,41317,44049,47111,49048,52547,55210,58564,62671,65572,69909,75962,82727,89155,95594,101591,108873,115879,121499,128137,131340,134637,138949,142116,147335,155204,161570,166222,172908,180314,189004,7
1,Personal Health Care (Millions of Dollars),State,1,New England,Connecticut,3135,3612,4134,4587,5083,5551,6171,6946,7964,9096,10032,10927,11673,12297,12888,13740,14206,15019,15934,16735,17625,18989,20446,21559,23380,24368,25838,27326,28876,30866,31444,31849,33053,33864,35243,36774,38059,38987,40587,42192,44372,6.8
1,Personal Health Care (Millions of Dollars),State,1,New England,Maine,975,1113,1259,1388,1512,1640,1779,1969,2268,2523,2807,3047,3204,3442,3587,3916,4274,4615,4984,5412,5766,6328,6948,7641,8280,8825,9378,9831,10221,10530,10730,11040,11254,11325,11759,12356,12940,13489,14273,15037,15912,7.2
1,Personal Health Care (Millions of Dollars),State,1,New England,Massachusetts,6681,7622,8528,9306,10202,11005,12099,13485,15378,17284,19065,20482,21704,23373,24277,25731,27056,28629,30717,31542,33662,36739,40191,43433,46017,48938,52934,56891,59646,62759,64445,66222,68298,69806,72256,76803,80436,82772,86111,89902,93737,6.8
1,Personal Health Care (Millions of Dollars),State,1,New England,New Hampshire,672,795,912,1015,1138,1294,1481,1733,1954,2224,2497,2709,3000,3236,3363,3674,3964,4214,4551,4946,5295,5665,6052,6558,7204,7941,8580,9166,9625,10337,10757,11163,11497,11781,12086,12585,13091,13656,14255,14826,15631,8.2
1,Personal Health Care (Millions of Dollars),State,1,New England,Rhode Island,982,1107,1238,1393,1535,1699,1867,2028,2231,2488,2744,2904,3129,3318,3380,3768,3913,4155,4427,4690,5064,5495,6036,6541,7059,7623,7915,8286,8591,8868,8984,9196,9425,9582,10047,10510,10756,10917,11110,11619,12361,6.5
1,Personal Health Care (Millions of Dollars),State,1,New England,Vermont,386,447,521,564,598,652,730,795,907,1020,1148,1249,1340,1446,1553,1718,1797,1932,2058,2248,2497,2746,3055,3422,3654,3896,4227,4380,4540,4777,4981,5166,5422,5758,5944,6175,6288,6401,6571,6739,6991,7.5
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,43019,49062,54783,60522,67493,73841,80564,89714,99786,110343,123305,134739,146271,155332,164169,172905,180170,188710,197552,209794,222610,240330,259684,280838,298971,317247,335920,354806,367602,386781,401594,415024,425515,437989,458771,481950,506474,529159,552326,579506,613313,6.9
1,Personal Health Care (Millions of Dollars),State,2,Mideast,Delaware,526,595,685,758,860,976,1069,1204,1354,1526,1703,1882,2077,2234,2429,2576,2664,2920,3068,3395,3597,3879,4307,4879,5289,5673,6040,6469,6879,7175,7603,8007,8251,8634,9187,9658,9919,10426,10768,11269,11995,8.1
